Market_ID,Market_Code,Market_Name,Village,District,State,Contact_Number,Market_Type
86,MKT0086,Indore Grain Market,Indore,Indore,Madhya Pradesh,8703193427,Grains
87,MKT0087,Bhopal Agricultural Market,Bhopal,Bhopal,Madhya Pradesh,8828487319,APMC
88,MKT0088,Ujjain Soybean Market,Ujjain,Ujjain,Madhya Pradesh,7879983705,Oilseeds
89,MKT0089,Jabalpur Pulse Market,Jabalpur,Jabalpur,Madhya Pradesh,8665891208,Pulses
90,MKT0090,Gwalior Wheat Market,Gwalior,Gwalior,Madhya Pradesh,7664761009,Wheat
91,MKT0091,Sagar Gram Market,Sagar,Sagar,Madhya Pradesh,6253396557,Pulses
92,MKT0092,Rewa Paddy Market,Rewa,Rewa,Madhya Pradesh,6869262423,Paddy
93,MKT0093,Dewas Soybean Market,Dewas,Dewas,Madhya Pradesh,8029980269,Oilseeds
94,MKT0094,Ratlam Garlic Market,Ratlam,Ratlam,Madhya Pradesh,8215072283,Spices
95,MKT0095,Neemuch Spice Market,Neemuch,Neemuch,Madhya Pradesh,6299571813,Spices
96,MKT0096,Chhindwara Maize Market,Chhindwara,Chhindwara,Madhya Pradesh,8021410435,Maize
97,MKT0097,Hoshangabad Wheat Market,Narmadapuram,Narmadapuram,Madhya Pradesh,7907854904,Wheat
98,MKT0098,Sehore Soybean Market,Sehore,Sehore,Madhya Pradesh,9649006026,Oilseeds
99,MKT0099,Khandwa Cotton Market,Khandwa,Khandwa,Madhya Pradesh,9954607867,Cotton
100,MKT0100,Khargone Chilli Market,Khargone,Khargone,Madhya Pradesh,9423440463,Spices
101,MKT0101,Lucknow Agricultural Market,Lucknow,Lucknow,Uttar Pradesh,9080078555,APMC
102,MKT0102,Kanpur Grain Market,Kanpur Nagar,Kanpur Nagar,Uttar Pradesh,6489490231,Grains
103,MKT0103,Varanasi Vegetable Market,Varanasi,Varanasi,Uttar Pradesh,7621837588,Vegetable
104,MKT0104,Gorakhpur Paddy Market,Gorakhpur,Gorakhpur,Uttar Pradesh,8027931160,Paddy
105,MKT0105,Agra Potato Market,Agra,Agra,Uttar Pradesh,6724337750,Potato
106,MKT0106,Meerut Sugarcane Market,Meerut,Meerut,Uttar Pradesh,7166264427,Sugarcane
107,MKT0107,Bareilly Wheat Market,Bareilly,Bareilly,Uttar Pradesh,8426460350,Wheat
108,MKT0108,Prayagraj Pulse Market,Prayagraj,Prayagraj,Uttar Pradesh,7772144152,Pulses
109,MKT0109,Aligarh Maize Market,Aligarh,Aligarh,Uttar Pradesh,6374403446,Maize
110,MKT0110,Saharanpur Mango Market,Saharanpur,Saharanpur,Uttar Pradesh,6491946341,Fruit
111,MKT0111,Ludhiana Grain Market,Ludhiana,Ludhiana,Punjab,9533331515,Grains
112,MKT0112,Amritsar Vegetable Market,Amritsar,Amritsar,Punjab,8788211676,Vegetable
113,MKT0113,Bathinda Cotton Market,Bathinda,Bathinda,Punjab,9455686939,Cotton
114,MKT0114,Patiala Paddy Market,Patiala,Patiala,Punjab,7446753040,Paddy
115,MKT0115,Jalandhar Agricultural Market,Jalandhar,Jalandhar,Punjab,8088654578,APMC
116,MKT0116,Hisar Cotton Market,Hisar,Hisar,Haryana,7341018375,Cotton
117,MKT0117,Karnal Rice Market,Karnal,Karnal,Haryana,6244513243,Rice
118,MKT0118,Rohtak Grain Market,Rohtak,Rohtak,Haryana,8006276983,Grains
119,MKT0119,Panipat Vegetable Market,Panipat,Panipat,Haryana,8366170563,Vegetable
120,MKT0120,Ambala Agricultural Market,Ambala,Ambala,Haryana,6643312942,APMC
121,MKT0121,Patna Grain Market,Patna,Patna,Bihar,7081788037,Grains
122,MKT0122,Muzaffarpur Litchi Market,Muzaffarpur,Muzaffarpur,Bihar,9116697037,Fruit
123,MKT0123,Gaya Pulse Market,Gaya,Gaya,Bihar,8772297916,Pulses
124,MKT0124,Bhagalpur Maize Market,Bhagalpur,Bhagalpur,Bihar,9775411680,Maize
125,MKT0125,Purnia Paddy Market,Purnia,Purnia,Bihar,8518827291,Paddy
126,MKT0126,Bhubaneswar Agricultural Market,Khordha,Khordha,Odisha,6924300529,APMC
127,MKT0127,Cuttack Paddy Market,Cuttack,Cuttack,Odisha,7098671286,Paddy
128,MKT0128,Sambalpur Vegetable Market,Sambalpur,Sambalpur,Odisha,9400285751,Vegetable
129,MKT0129,Balasore Fish Market,Balasore,Balasore,Odisha,7304741950,Fish
130,MKT0130,Berhampur Grain Market,Ganjam,Ganjam,Odisha,7203516539,Grains
131,MKT0131,Kolkata Wholesale Market,Kolkata,Kolkata,West Bengal,9803373026,APMC
132,MKT0132,Siliguri Tea Market,Darjeeling,Darjeeling,West Bengal,8133686941,Tea
133,MKT0133,Burdwan Rice Market,Purba Bardhaman,Purba Bardhaman,West Bengal,6790278333,Rice
134,MKT0134,Malda Mango Market,Malda,Malda,West Bengal,8062806274,Fruit
135,MKT0135,Midnapore Paddy Market,Paschim Medinipur,Paschim Medinipur,West Bengal,9839449587,Paddy
136,MKT0136,Raipur Paddy Market,Raipur,Raipur,Chhattisgarh,9685306364,Paddy
137,MKT0137,Durg Agricultural Market,Durg,Durg,Chhattisgarh,8479646706,APMC
138,MKT0138,Bilaspur Rice Market,Bilaspur,Bilaspur,Chhattisgarh,8571086412,Rice
139,MKT0139,Ranchi Vegetable Market,Ranchi,Ranchi,Jharkhand,8356693755,Vegetable
140,MKT0140,Dhanbad Grain Market,Dhanbad,Dhanbad,Jharkhand,8621743522,Grains
141,MKT0141,Guwahati Agricultural Market,Kamrup Metro,Kamrup Metro,Assam,7929418484,APMC
142,MKT0142,Jorhat Tea Market,Jorhat,Jorhat,Assam,8675221771,Tea
143,MKT0143,Dibrugarh Tea Market,Dibrugarh,Dibrugarh,Assam,7121705385,Tea
144,MKT0144,Shillong Vegetable Market,East Khasi Hills,East Khasi Hills,Meghalaya,6397578096,Vegetable
145,MKT0145,Agartala Agricultural Market,West Tripura,West Tripura,Tripura,9638761949,APMC
146,MKT0146,Imphal Grain Market,Imphal West,Imphal West,Manipur,6531929520,Grains
147,MKT0147,Aizawl Ginger Market,Aizawl,Aizawl,Mizoram,8135519167,Spices
148,MKT0148,Kohima Vegetable Market,Kohima,Kohima,Nagaland,6800656746,Vegetable
149,MKT0149,Gangtok Cardamom Market,Gangtok,Gangtok,Sikkim,8632844614,Spices
150,MKT0150,Itanagar Agricultural Market,Papum Pare,Papum Pare,Arunachal Pradesh,7318393375,APMC
